1	-1	0	0	5	b'What does "backprop" mean? I\'ve Googled it, but it\'s showing backpropagation.Is the "backprop" term basically the same as "backpropagation" or does it have a different meaning?'	25	0	0	0
2	-1	0	0	7	b'Does increasing the noise in data help to improve the learning ability of a network? Does it make any difference or does it depend on the problem being solved? How is it affect the generalization process overall?'	36	0	0	0
3	1	1	69	10	b'"Backprop" is the same as "backpropagation": it\'s just a shorter way to say it. It is sometimes abbreviated as "BP".'	19	0	0	0
4	-1	0	0	16	b"When you're writing your algorithm, how do you know how many neurons you need per single layer? Are there any methods for finding the optimal number of them, or is it a rule of thumb?"	34	0	0	0
5	-1	0	0	0	b"I have a LEGO Mindstorms EV3 and I'm wondering if there's any way I could start coding the bot in Python rather than the default drag-and-drop system. Is a Mindstorm considered AI?Is this possible?My goal is to write a basic walking program in Python. The bot is the EV3RSTORM. I searched and found this, but don't understand it. "	58	0	1	0
6	-1	0	0	3	b'The intelligent agent definition of intelligence states that an agent is intelligent if it acts so to maximize the expected value of a performance measure based on past experience and knowledge. (paraphrased from Wikipedia)Does this mean that humans are not intelligent? I think we all make mistakes that imply that we are not maximizing the expected value of a performance measure.'	60	0	1	0
7	-1	0	0	7	b'This quote by Stephen Hawking has been in headlines for quite some time: Artificial Intelligence could wipe out humanity when it gets too clever as humans will be like ants.Why does he say this? To put it simply in layman terms: what are the possible threats from AI? If we know that AI is so dangerous why are we still promoting it? Why is it not banned?What are the adverse consequences of the so called Technological Singularity? '	77	0	0	0
8	5	0	220	2	b'You can use python-ev3 which can be used to program Lego Mindstorms EV3 using Python on ev3dev.See: Setting Up a Python Development Environment with PyCharm'	24	0	1	0
9	2	1	402	6	b'Noise in the data, to a reasonable amount, may help the network to generalize better. Sometime, it has the opposite effect. It partly depends on the kind of noise ("true" vs. artificial).The AI FAQ on ANN gives a good overview. Except: Noise in the actual data is never a good thing, since it limits the accuracy of generalization that can be achieved no matter how extensive the training set is. On the other hand, injecting artificial noise (jitter) into the inputs during training is one of several ways to improve generalization for smooth functions when you have a small training set.In some field, such as computer vision, it\'s common to increase the size of the training set by copying some samples and adding some noises or other transformation.'	127	0	0	0
10	-1	0	0	15	b"I'm new to A.I. and I'd like to know in simple words, what is the fuzzy logic concept? How does it help, and when is it used?"	26	0	0	0
11	2	0	516	6	b'We typically think of machine learning models as modeling two different parts of the training data--the underlying generalizable truth (the signal), and the randomness specific to that dataset (the noise).Fitting both of those parts increases training set accuracy, but fitting the signal also increases test set accuracy (and real-world performance) while fitting the noise decreases both. So we use things like regularization and dropout and similar techniques in order to make it harder to fit the noise, and so more likely to fit the signal.Just increasing the amount of noise in the training data is one such approach, but seems unlikely to be as useful. Compare random jitter to adversarial boosting, for example; the first will slowly and indirectly improve robustness whereas the latter will dramatically and directly improve it.'	129	0	0	0
12	4	1	545	9	b'There is no direct way to find the optimal number of them: people empirically try and see (e.g., using cross-validation). The most common search techniques are random, manual, and grid searches. There exist more advanced techniques such as Gaussian processes, e.g. Optimizing Neural Network Hyperparameters with Gaussian Processes for Dialog Act Classification, IEEE SLT 2016.'	54	0	1	0
13	-1	0	0	3	b'In particular, an embedded computer (limited resources) analyzes live video stream from a traffic camera, trying to pick good frames that contain license plate numbers of passing cars. Once a plate is located, the frame is handed over to an OCR library to extract the registration and use it further.In my country two types of license plates are in common use - rectangular (the typical) and square - actually, somewhat rectangular but "higher than wider", with the registration split over two rows.(there are some more types, but let us disregard them; they are a small percent and usually belong to vehicles that lie outside our interest.)Due to the limited resources and need for rapid, realtime processing, the maximum size of the network (number of cells and connections) the system can handle is fixed.Would it be better to split this into two smaller networks, each recognizing one type of registration plates, or will the larger single network handle the two types better?'	160	0	0	0
14	5	1	616	3	b' Is a Mindstorm considered AI?This depends on what type of software you write in it... The algorithms you write could be seen as AI. You can absolutely use Python to progam it (or java or other languages). Check this link for a tutorial. '	44	0	1	0
15	-1	0	0	18	b'The Turing Test was the first test of artificial intelligence and is now a bit outdated. The Total Turing Test aims to be a more modern test which requires a much more sophisticated system. What techniques can we use to identify an artificial intelligence (weak AI) and an artificial general intelligence (strong AI)?'	52	0	0	0
16	-1	0	0	4	b'What is the "early stopping" and what are the advantages using this method? How does it help exactly.'	17	0	0	0
17	-1	0	0	13	b"I've heard the idea of the technological singularity, what is it and how does it relate to Artificial Intelligence? Is this the theoretical point where Artificial Intelligence machines have progressed to the point where they grow and learn on their own beyond what humans can do and their growth takes off? How would we know when we reach this point?"	59	0	0	0
