1	b'Just apply for a job at @Apple, hope they call me lol'
1	b"I'm loving this new IOS5 update :) @apple"
0	b"I am so done with @Att and @apple 's profitering and lack of customer service, so fucking down with both!!!"
0	b'#SteveJobs memorial at the Leawood @Apple store. http://t.co/UVgb05G6'
0	b'#iMessage is here wid iOS5 RIP #BBM @cultofmac @apple'
0	b'#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/nDRpciY9 #PampersHelloApps'
0	b'iPhone 4S First Weekend Sales Top Four Million: http://t.co/Dm4acTYv via @Apple themselves. Big sales for the new phone.'
1	b".@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear"
0	b'Flowers & Apples shower the Santa Monica @Apple store in honor of #SteveJobs http://t.co/xGf60gMs'
0	b'Love @apple downloads. 4 hours and i-pad now wonky! #ripstevejobs #thenonsensepersists #neednewipadguide #fatfuckingchance'
1	b'Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty.'
0	b"@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em"
0	b'Time to play a game called wait at the @apple store forever because the tourists are taking forever with their genius appointments.'
0	b'RT @carlmilner: RT @petapixel: iPhone 4S vs Canon 5D Mark II - A side-by-side comparison of 1080p HD video: http://t.co/qMyMIV7z &lt;&lt ...'
